"E5_BT"	"T1BT_BE"	"E9_BE"	"T3BT_BE"	"E10_BT"	"E7_BE"	"T4BT_BE"	"E8_BE"	"E8_BT"	"E13_BE"	"P4E2_SR3_R4"	"E16_BT"	"E13_BT"	"E6_BT"	"T4BT_BT"	"E12_BE"	"E2_BT"	"T2BT_BT"	"E2_BE"	"B2P3_MV4"	"B1P7_MV4"	"E15_BT"	"T5BT_BE"	"T1BT_BT"	"T2BT_BE"	"E16_BE"	"E14_BE"	"E1_BT"	"E15_BE"	"E1_BE"	"E12_BT"	"E4_BT"	"E11_BT"	"E11_BE"	"E9_BT"	"E17_BE"	"E14_BT"	"E7_BT"	"T1_MV4"	"B2P2_MV8"	"B1P3_MV8"	"B3P4_MV4"	"B3P1_MV8"	"B3P7_MV4"	"B3P3_MV8"	"T5_MV4"	"B3P6_MV8"	"P4E1_SR3_R4"	"B2P1_MV8"	"B3P5_MV8"	"B2P4_MV4"	"T1_SR3_R4"	"T3_MV8"	"B1P2_MV8"	"T4_MV8"	"T5_MV8"	"B3P7_MV8"	"B3P2_MV8"	"B2P7_MV4"	"B3P5_MV4"	"T1_MV8"	"P1E1_SR3_R4"	"B3P2_MV4"	"P1E3_SR3_R4"	"B1P6_MV4"	"B3P6_MV4"	"B1P5_MV8"	"B1P3_MV4"	"B3P1_MV4"	"T2_MV4"	"B1P7_MV8"	"T4_SR3_R4"	"B3P4_MV8"	"T4_MV4"	"B2P6_MV4"	"P3E1_SR3_R4"	"B2P1_MV4"	"B2P4_MV8"	"P5E3_SR3R4"	"P3E4_SR3_R4"	"B1P1_MV8"	"B1P8_MV8"	"B2P6_MV8"	"B1P4_MV8"	"B1P4_MV4"	"T2_MV8"	"B2P5_MV4"	"B2P2_MV4"	"T3_MV4"	"B2P8_MV8"	"B1P6_MV8"	"B1P1_MV4"	"B1P5_MV4"	"B2P3_MV8"	"B3P3_MV4"	"P5E2_SR3_R4"	"B2P5_MV8"	"B2P7_MV8"	"P3E3_SR3_R4"	"P1E4_SR3_R4"	"P3E2_SR3_R4"	"T6_SR3_R4"	"T5_SR3_R4"	"P2E3_SR3_R4"	"P5E1_SR3_R4"	"P4E4_SR3_R4"	"P2E1_SR3_R4"	"T3_SR3_R4"	"T2_SR3_R4"	"P5E4_SR3_R4"	"P1E2_SR3_R4"	"P2E4_SR3_R4"	"P4E3_SR3_R4"	"P2E2_SR3_R4"	"B1P2_MV4"	"annotation"
"VTX00309"	0	0	0	1	2	6	0	0	0	0	57	0	0	0	0	0	0	0	1	0	1	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	2	0	1	0	0	3582	0	1	0	1	1	8	0	100	0	130	0	2044	0	0	1	1	2	0	0	167	1	1	0	95	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	1	0	1	2916	227	0	222	0	2069	279	5667	237	2360	0	162	721	0	238	1	"Glomeromycetes;Glomerales;Glomeraceae;Glomus;ORVIN"
"VTX00056"	47	1569	215	88	184	575	319	412	17	138	0	1	61	117	16	28	0	46	18	0	0	30	264	75	180	8856	441	0	674	169	28	39	133	58	3	182	50	175	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	25	0	0	0	0	1	1	0	0	85	0	1	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1755	0	0	0	9	5	1	0	1	1	0	84	0	270	1	2	98	0	0	1	0	"Glomeromycetes;Glomerales;Claroideoglomeraceae;Claroideoglomus;Douhan9"
"VTX00247"	23	130	17	38	8	156	247	53	68	41	4	10	0	7	33	118	0	22	114	375	107	2	155	1	182	21	42	2	74	21	17	5	13	206	6	58	16	2	10	165	400	370	73	240	348	208	202	0	289	357	202	1	338	450	226	310	203	485	50	485	142	2	300	141	214	413	184	399	375	108	203	198	399	221	144	191	105	215	3	11	198	293	237	62	68	324	88	494	278	284	272	122	327	121	555	13	378	274	135	121	148	43	70	6	10	0	106	53	154	53	9	107	68	2	98	"Glomeromycetes;Glomerales;Glomeraceae;Glomus;Glo39"
"VTX00061"	1	1	0	0	0	0	0	676	0	0	0	0	1	0	12	0	0	0	0	0	2	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	1	99	0	0	9	0	124	465	0	0	0	1	675	0	6	5160	4	3	83	0	3	0	2	0	1	257	2	0	0	0	48	0	2	7	0	1	3960	0	2	5	0	286	0	25	2121	0	22	0	11	2	531	9	0	0	0	54	1	0	0	2	0	24	67	0	0	0	0	155	0	1	0	2	0	0	4	0	0	"Glomeromycetes;Diversisporales;Diversisporaceae;Diversispora;epigaea"
"VTX00418"	0	36	1	18	3	4	0	1	8	0	2	0	0	0	0	0	1	0	1	8	59	0	6	0	7	0	0	0	0	0	0	0	18	22	0	0	0	0	25	10	1	34	119	27	26	23	49	1642	52	37	3	47	55	0	16	52	29	2	48	301	35	741	3	4	7	5	4	16	3	1	44	838	24	5	10	151	3	19	8	494	105	0	80	0	20	1	3	1	1	1	1	16	42	14	66	8	6	12	78	317	390	1933	2	1054	63	860	811	245	103	897	118	2	1118	892	46	"Glomeromycetes;Glomerales;Glomeraceae;Glomus;Glo"
"VTX00276"	2	8	0	38	13	11	6	3	1	1	38	0	0	0	1	1	0	1	17	3	13	0	1	0	5	27	1	0	1	12	0	0	0	24	1	0	0	0	3	1	1	4	23	5	6	4	18	8	11	10	2	3	2	0	4	9	4	0	3	134	4	376	1	0	3	1	93	1	1	0	19	732	3	0	2	193	1	6	3	6	20	0	0	0	1	1	0	4	0	0	0	4	5	6	2848	153	3	8	23	128	131	228	61	529	1	418	1919	18	1394	894	645	1020	55	131	10	"Glomeromycetes;Glomerales;Claroideoglomeraceae;Claroideoglomus;Glo59"
"VTX00214"	0	1	0	13	122	52	150	40	46	0	0	0	0	0	0	155	0	84	71	2	1824	0	200	0	24	0	33	0	227	31	147	27	0	67	0	0	79	14	0	6	1397	42	1	223	1760	13	35	8	31	24	1069	0	1135	33	491	245	39	144	514	78	294	7	0	2	0	50	0	1	79	0	31	5	0	574	200	2	277	0	0	1	17	0	0	0	0	0	0	0	29	15	1	0	0	0	0	0	0	0	15	39	0	0	0	1	0	0	0	1	0	0	0	0	9	4	0	"Glomeromycetes;Glomerales;Glomeraceae;Glomus;Glo7"
"VTX00318"	4	0	25	2	0	0	16	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	1	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	958	3	0	0	0	0	0	0	0	0	247	0	0	0	0	1	0	0	0	0	274	0	0	0	338	0	0	0	778	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	465	0	0	403	188	348	878	357	23	419	567	580	1029	0	1230	176	33	806	1293	0	"Glomeromycetes;Diversisporales;Gigasporaceae;Scutellospora;LER04"
"VTX00287"	0	177	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	8	5	0	1	0	8	22	1	0	0	17	319	0	4	0	1	3	69	484	85	764	0	1	0	2	0	1	2	0	3	35	1	0	0	201	1	0	0	2	3	0	341	0	0	0	0	1	1	0	0	1	0	0	3	6	1	0	50	1436	7	10	2	4	1	2193	2676	353	3	2	30	177	13	1182	2	"Glomeromycetes;Glomerales;Glomeraceae;Glomus;perpusillum"
"VTX00057"	41	1	42	1265	259	157	475	11	325	91	0	1	74	0	0	89	0	1	114	18	1	52	2577	99	146	148	61	61	852	77	1	0	3	335	54	197	77	2	1	7	13	1	1	4	13	0	1	97	20	2	119	13	12	26	13	14	11	2	2	697	6	1	0	1	8	3	0	0	3	6	0	1	3	1	12	0	2	2	0	3	8	77	341	0	7	1	5	2	1	3	103	0	5	25	3	0	81	3	38	1	0	101	5	3	2	2	2	4	1	115	4	3	0	21	4	"Glomeromycetes;Glomerales;Claroideoglomeraceae;Claroideoglomus;acnaGlo7"
"VTX00344"	5	156	17	13	7	126	183	65	56	30	8	0	0	1	6	101	0	0	55	207	23	0	76	1	256	63	13	1	86	6	1	3	0	182	1	95	7	2	3	93	75	110	42	169	257	102	120	0	135	250	31	0	196	235	175	264	205	182	25	119	96	3	43	111	81	157	144	183	68	55	105	102	301	73	80	103	38	128	6	6	83	227	201	0	54	311	39	117	91	171	97	53	123	54	169	12	139	154	127	107	94	35	94	2	6	0	50	46	50	46	11	123	27	0	59	"Glomeromycetes;Glomerales;Glomeraceae;Glomus;Glo72"
